Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_117,VDD,Metal1,62.1600,34.0200,1.199605
FILLER_4_75,VDD,Metal1,42.7310,33.4230,1.199791
FILLER_4_68,VDD,Metal1,40.0890,33.4210,1.199800
FILLER_4_33,VDD,Metal1,21.8400,34.0200,1.199864
FILLER_4_4,VDD,Metal1,8.1600,34.0200,1.199942
FILLER_4_0,VDD,Metal1,6.7310,33.4230,1.199942
FILLER_3_89,VDD,Metal1,48.9600,26.4600,1.195499
FILLER_3_77,VDD,Metal1,43.2000,26.4600,1.195669
FILLER_3_73,VDD,Metal1,41.7710,27.0560,1.199397
FILLER_3_62,VDD,Metal1,35.7600,26.4600,1.199833
FILLER_3_55,VDD,Metal1,33.8490,27.0580,1.199833
FILLER_3_22,VDD,Metal1,16.8000,26.4600,1.199949
FILLER_3_15,VDD,Metal1,14.6490,27.0580,1.199949
FILLER_3_7,VDD,Metal1,10.0910,27.0560,1.199949
FILLER_3_0,VDD,Metal1,7.4490,27.0580,1.199949
FILLER_2_88,VDD,Metal1,48.2400,26.4600,1.195566
FILLER_2_77,VDD,Metal1,42.9600,26.4600,1.195669
FILLER_2_45,VDD,Metal1,27.6000,26.4600,1.199834
FILLER_2_34,VDD,Metal1,22.3200,26.4600,1.199930
FILLER_2_28,VDD,Metal1,19.6800,26.4600,1.199949
FILLER_2_21,VDD,Metal1,17.5290,25.8610,1.199949
FILLER_2_14,VDD,Metal1,14.1690,25.8610,1.199949
FILLER_2_7,VDD,Metal1,10.8090,25.8610,1.199949
FILLER_2_0,VDD,Metal1,7.4490,25.8610,1.199949
FILLER_1_117,VDD,Metal1,62.1600,18.9000,1.199852
FILLER_1_115,VDD,Metal1,61.4400,18.9000,1.199852
FILLER_1_108,VDD,Metal1,59.2890,19.4980,1.199852
FILLER_1_92,VDD,Metal1,51.6090,19.4980,1.199852
FILLER_1_61,VDD,Metal1,36.0110,19.4960,1.199872
FILLER_1_21,VDD,Metal1,16.8110,19.4960,1.199967
FILLER_1_14,VDD,Metal1,14.1690,19.4980,1.199967
FILLER_1_7,VDD,Metal1,10.8090,19.4980,1.199967
FILLER_1_0,VDD,Metal1,7.4490,19.4980,1.199967
FILLER_0_117,VDD,Metal1,62.1600,18.9000,1.199852
FILLER_0_88,VDD,Metal1,48.4800,18.9000,1.199857
FILLER_0_84,VDD,Metal1,47.0510,18.3030,1.199857
FILLER_0_77,VDD,Metal1,44.4090,18.3010,1.199857
FILLER_0_70,VDD,Metal1,41.0490,18.3010,1.199860
FILLER_0_63,VDD,Metal1,37.6890,18.3010,1.199872
FILLER_0_56,VDD,Metal1,34.3290,18.3010,1.199874
FILLER_0_51,VDD,Metal1,30.4800,18.9000,1.199948
FILLER_0_49,VDD,Metal1,29.7600,18.9000,1.199950
FILLER_0_42,VDD,Metal1,27.6090,18.3010,1.199950
FILLER_0_35,VDD,Metal1,24.2490,18.3010,1.199950
FILLER_0_28,VDD,Metal1,20.8890,18.3010,1.199951
FILLER_0_21,VDD,Metal1,17.5290,18.3010,1.199967
FILLER_0_14,VDD,Metal1,14.1690,18.3010,1.199967
FILLER_0_7,VDD,Metal1,10.8090,18.3010,1.199967
FILLER_0_0,VDD,Metal1,7.4490,18.3010,1.199967
hold47,VDD,Metal1,55.4830,19.2150,1.199852
hold46,VDD,Metal1,36.2830,33.7040,1.199823
hold45,VDD,Metal1,52.1230,71.5040,1.199909
hold44,VDD,Metal1,45.8830,34.3350,1.199605
hold43,VDD,Metal1,55.9630,56.3840,1.196562
hold42,VDD,Metal1,25.7230,71.5040,1.199949
hold41,VDD,Metal1,55.9630,48.8240,1.199658
hold40,VDD,Metal1,21.8830,41.2640,1.199795
hold39,VDD,Metal1,30.4360,71.5040,1.199934
hold38,VDD,Metal1,56.4430,41.2640,1.199322
hold37,VDD,Metal1,21.8830,49.4550,1.199910
hold36,VDD,Metal1,27.1630,57.0150,1.199094
hold35,VDD,Metal1,32.9230,19.2150,1.199874
hold34,VDD,Metal1,42.5230,64.5750,1.199880
hold33,VDD,Metal1,55.9630,33.7040,1.199605
hold32,VDD,Metal1,22.8430,34.3350,1.199864
clkbuf_2_3__f_clk,VDD,Metal1,56.4000,63.7520,1.199869
clkbuf_2_2__f_clk,VDD,Metal1,22.8000,63.7520,1.199899
clkbuf_2_1__f_clk,VDD,Metal1,56.4000,25.9520,1.195411
