Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_117,VSS,Metal1,62.1600,30.2400,0.000102
FILLER_4_75,VSS,Metal1,42.7080,30.6160,0.000061
FILLER_4_68,VSS,Metal1,40.0860,30.7000,0.000061
FILLER_4_33,VSS,Metal1,21.8400,30.2400,0.000075
FILLER_4_4,VSS,Metal1,8.1600,30.2400,0.000076
FILLER_4_0,VSS,Metal1,6.7080,30.6160,0.000076
FILLER_3_89,VSS,Metal1,48.9600,30.2400,0.000089
FILLER_3_77,VSS,Metal1,43.2000,30.2400,0.000061
FILLER_3_73,VSS,Metal1,41.7480,29.8630,0.000061
FILLER_3_62,VSS,Metal1,35.7600,30.2400,0.000055
FILLER_3_55,VSS,Metal1,33.8460,29.7790,0.000055
FILLER_3_22,VSS,Metal1,16.8000,30.2400,0.000076
FILLER_3_15,VSS,Metal1,14.6460,29.7790,0.000076
FILLER_3_7,VSS,Metal1,10.0680,29.8630,0.000076
FILLER_3_0,VSS,Metal1,7.4460,29.7790,0.000076
FILLER_2_88,VSS,Metal1,48.2400,22.6800,0.000085
FILLER_2_77,VSS,Metal1,42.9600,22.6800,0.000085
FILLER_2_45,VSS,Metal1,27.6000,22.6800,0.000061
FILLER_2_34,VSS,Metal1,22.3200,22.6800,0.000060
FILLER_2_28,VSS,Metal1,19.6800,22.6800,0.000060
FILLER_2_21,VSS,Metal1,17.5260,23.1400,0.000060
FILLER_2_14,VSS,Metal1,14.1660,23.1400,0.000060
FILLER_2_7,VSS,Metal1,10.8060,23.1400,0.000060
FILLER_2_0,VSS,Metal1,7.4460,23.1400,0.000060
FILLER_1_117,VSS,Metal1,62.1600,22.6800,0.000133
FILLER_1_115,VSS,Metal1,61.4400,22.6800,0.000133
FILLER_1_108,VSS,Metal1,59.2860,22.2190,0.000133
FILLER_1_92,VSS,Metal1,51.6060,22.2190,0.000133
FILLER_1_61,VSS,Metal1,35.9880,22.3030,0.000074
FILLER_1_21,VSS,Metal1,16.7880,22.3030,0.000060
FILLER_1_14,VSS,Metal1,14.1660,22.2190,0.000060
FILLER_1_7,VSS,Metal1,10.8060,22.2190,0.000060
FILLER_1_0,VSS,Metal1,7.4460,22.2190,0.000060
FILLER_0_117,VSS,Metal1,62.1600,15.1200,0.000181
FILLER_0_88,VSS,Metal1,48.4800,15.1200,0.000144
FILLER_0_84,VSS,Metal1,47.0280,15.4960,0.000143
FILLER_0_77,VSS,Metal1,44.4060,15.5800,0.000130
FILLER_0_70,VSS,Metal1,41.0460,15.5800,0.000116
FILLER_0_63,VSS,Metal1,37.6860,15.5800,0.000103
FILLER_0_56,VSS,Metal1,34.3260,15.5800,0.000090
FILLER_0_51,VSS,Metal1,30.4800,15.1200,0.000031
FILLER_0_49,VSS,Metal1,29.7600,15.1200,0.000031
FILLER_0_42,VSS,Metal1,27.6060,15.5800,0.000023
FILLER_0_35,VSS,Metal1,24.2460,15.5800,0.000010
FILLER_0_28,VSS,Metal1,20.8860,15.5800,0.000010
FILLER_0_21,VSS,Metal1,17.5260,15.5800,0.000010
FILLER_0_14,VSS,Metal1,14.1660,15.5800,0.000010
FILLER_0_7,VSS,Metal1,10.8060,15.5800,0.000010
FILLER_0_0,VSS,Metal1,7.4460,15.5800,0.000010
hold47,VSS,Metal1,55.4810,22.4720,0.000133
hold46,VSS,Metal1,36.2810,30.4470,0.000055
hold45,VSS,Metal1,52.1210,68.2470,0.000106
